station,location,capacity (mw),notes,category
Olkaria I Geothermal Power Station,00°11′43″S 36°04′54″E﻿ ,185,,geothermal
Olkaria II Geothermal Power Station,00°11′43″S 36°04′54″E﻿ ,105,,geothermal
Olkaria III Geothermal Power Station,00°11′43″S 36°04′54″E﻿ ,139,,geothermal
Olkaria IV Geothermal Power Station,00°11′43″S 36°04′54″E﻿ ,140,,geothermal
Olkaria V Geothermal Power Station,00°11′43″S 36°04′54″E﻿ ,158,,geothermal
Akiira One Geothermal Power Station,00°11′43″S 36°04′54″E﻿ ,70,Planned,geothermal
Menengai I Geothermal Power Station,00°11′43″S 36°04′54″E﻿ ,35,In development,geothermal
Menengai II Geothermal Power Station,00°11′43″S 36°04′54″E﻿ ,35,In development,geothermal
Menengai III Geothermal Power Station,00°11′43″S 36°04′54″E﻿ ,35,In development,geothermal
